model,accuracy,precision,recall,f1,roc_auc,average_precision
logistic_regression_tfidf,0.9013175584834633,0.8891772644692447,0.9177605143316367,0.9032428157131558,0.9637359900193518,0.9633315273613048
linear_svm_tfidf,0.9010486689970422,0.8959048877146631,0.9083846772033217,0.9021016227720138,0.9640449389458935,0.9630018081616244
naive_bayes_tfidf,0.8777897284216187,0.8698271346254584,0.8896330029466917,0.8796185935637664,0.9466120637578618,0.9454842454476983
random_forest_tfidf,0.8476741059424576,0.8238664673642252,0.8858826680953656,0.8537498386472183,0.9267605226464335,0.9246568206565314
baseline_most_frequent,0.5018822264049476,0.5018822264049476,1.0,0.6683376600125325,0.5,0.5018822264049476
