,precision,recall,f1-score,support
negative,0.9037360239978184,0.8944669365721998,0.8990775908844275,3705.0
positive,0.896313975072925,0.9054379855344227,0.9008528784648188,3733.0
accuracy,0.8999731110513579,0.8999731110513579,0.8999731110513579,0.8999731110513579
macro avg,0.9000249995353717,0.8999524610533112,0.8999652346746232,7438.0
weighted avg,0.9000110295589064,0.8999731110513579,0.8999685761677834,7438.0
